Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.28     0.00   737561     0.00     0.00  bool std::operator!=<std::pair<std::string, std::string>*>(std::move_iterator<std::pair<std::string, std::string>*> const&, std::move_iterator<std::pair<std::string, std::string>*> const&)
  0.00      1.28     0.00   734015     0.00     0.00  std::move_iterator<std::pair<std::string, std::string>*>::operator*() const
  0.00      1.28     0.00   734015     0.00     0.00  std::move_iterator<std::pair<std::string, std::string>*>::operator++()
  0.00      1.28     0.00   711434     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, long>, false> >::deallocate(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*, unsigned long)
  0.00      1.28     0.00   711434     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, long>, false> >::destroy(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*)
  0.00      1.28     0.00   711434     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, long>, false> >::allocate(unsigned long, void const*)
  0.00      1.28     0.00   711434     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, long>, false> >::max_size() const
  0.00      1.28     0.00   711434     0.00     0.00  std::pair<std::string const, long>::pair(std::pair<std::string const, long> const&)
  0.00      1.28     0.00   665940     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      1.28     0.00   662676     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00      1.28     0.00   644206     0.00     0.00  std::_Select1st<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >::operator()(std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >&) const
